Reference channel,G-FR2-A5-6,G-FR2-A5-7,G-FR2-A5-8,G-FR2-A5-9,G-FR2-A5-10
Subcarrier spacing [kHz],60,60,120,120,120
Allocated resource blocks,66,132,32,66,132
CP-OFDM Symbols per slot (Note 1),8,8,8,8,8
Modulation,64QAM,64QAM,64QAM,64QAM,64QAM
Code rate (Note 2),567/1024,567/1024,567/1024,567/1024,567/1024
Payload size (bits),21000,42016,10248,21000,42016
Transport block CRC (bits),24,24,24,24,24
Code block CRC size (bits),24,24,24,24,24
Number of code blocks - C,3,5,2,3,5
Code block size including CRC (bits) (Note 2),7032,8432,5160,7032,8432
Total number of bits per slot without PT-RS,38016,76032,18432,38016,76032
Total number of bits per slot with PT-RS (Note 3),36432,72864,17664,36432,72864
Total symbols per slot without PT-RS,6336,12672,3072,6336,12672
Total symbols per slot with PT-RS (Note 3),6072,12144,2944,6072,12144
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos1 with l0= 0 and l =8 as per Table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in sub-clause 5.2.2 of TS 38.212 [15].NOTE 3:PT-RS configuration KPT-RS =2, LPT-RS =1.",,,,,
